method,metric,epsilon_subset,model_family,n_points,n_epsilon,n_censored,C_hat,parameter_name,parameter_hat,Delta_hat,alpha_hat,standard_error,bootstrap_CI,bootstrap_ci_low,bootstrap_ci_high,bootstrap_C_CI,bootstrap_C_ci_low,bootstrap_C_ci_high,bootstrap_successes,log_likelihood,log_R2,AIC,BIC,leave_one_out_error,residual_RMSE_log,sigma_log_time,converged,selected_fit
Langevin,truncated_KDE_chi2,all,arrhenius,96,16,0,3.2080897963035366,Delta_hat,0.2669379498265854,0.2669379498265854,,0.0018545446634684404,"[0.26450174, 0.26946174]",0.2645017421788298,0.26946174243500515,"[3.1387207, 3.2819228]",3.1387206748466334,3.281922831201027,295,96.41854146022726,0.9953877033547252,-186.83708292045452,-179.14403834605102,-0.795856604053113,0.08862880688424332,0.08862882426485896,True,True
Langevin,truncated_KDE_chi2,all,polynomial,96,16,0,0.359737260264404,alpha_hat,2.2473205673890595,,2.2473205673890595,0.052164812927494586,"[2.2271675, 2.2694645]",2.227167488841461,2.2694645110782687,"[0.3444696, 0.37402121]",0.3444696006040905,0.3740212055448816,300,-17.186650668104377,0.9508193252522429,40.373301336208755,48.06634591061226,0.6858037813490613,0.2894099968318229,0.2894099966204391,True,False
Langevin,truncated_KDE_chi2,exclude_largest_2,arrhenius,84,14,0,3.3938776053447746,Delta_hat,0.26257115081229176,0.26257115081229176,,0.001805720906789499,"[0.26020077, 0.2654567]",0.26020076720590535,0.2654567040513212,"[3.3048522, 3.4769613]",3.304852161868571,3.4769612913857535,288,95.61831856440865,0.9960430136555473,-185.2366371288173,-177.94418673228736,-0.9713671681097903,0.07751747769155425,0.07751747657247772,True,True
Langevin,truncated_KDE_chi2,exclude_largest_2,polynomial,84,14,0,0.20600753446646003,alpha_hat,2.482309270926002,,2.482309270926002,0.054059092199522416,"[2.4536125, 2.5059181]",2.45361247233963,2.5059180595177812,"[0.19617507, 0.21901292]",0.1961750725199895,0.21901291612245133,300,0.26612865416993525,0.9616876251409086,5.4677426916601295,12.76019308819007,0.6417508217460615,0.24120532639652373,0.2412053137168813,True,False
Langevin,truncated_KDE_chi2,lowest_10,arrhenius,60,10,0,3.787218236870252,Delta_hat,0.25469477294066695,0.25469477294066695,,0.0021282343244505638,"[0.2507469, 0.25866706]",0.2507469005755971,0.25866705783031213,"[3.6161754, 3.9781875]",3.616175366856459,3.9781874733269844,287,75.36542480706485,0.9958280959528486,-144.7308496141297,-138.4478159274634,-1.1425487479325933,0.0689048338012905,0.06890483394446606,True,True
Langevin,truncated_KDE_chi2,lowest_10,polynomial,60,10,0,0.06189661445441862,alpha_hat,2.960947221531404,,2.960947221531404,0.06268120316475771,"[2.9177966, 3.0025592]",2.917796570686912,3.0025592371926138,"[0.056176878, 0.068472431]",0.05617687834446751,0.06847243051463617,300,20.261777471225265,0.9738156793760431,-34.52355494245053,-28.24052125578423,0.6290500215235407,0.17262480024898194,0.1726247998150641,True,False
Langevin,truncated_KDE_chi2,lowest_8,arrhenius,48,8,0,4.095257781636175,Delta_hat,0.24954517847603008,0.24954517847603008,,0.002317784348465204,"[0.24542221, 0.25420075]",0.24542220617783,0.25420074646854723,"[3.8694062, 4.2946085]",3.8694061738665724,4.2946084937676146,295,65.92041678612527,0.9958762250579078,-125.84083357225055,-120.22723053952687,-1.3143332018541232,0.06128129939289353,0.0612812721320045,True,True
Langevin,truncated_KDE_chi2,lowest_8,polynomial,48,8,0,0.030072107381680955,alpha_hat,3.2353577142359122,,3.2353577142359122,0.07162789077710201,"[3.1836782, 3.2897694]",3.1836781653701096,3.2897694358212144,"[0.02643102, 0.034167012]",0.02643102040339876,0.0341670124406623,291,24.685715919679918,0.977014087505266,-43.371431839359836,-37.75782880663616,0.6291182095106848,0.14468095349742535,0.14468095440776538,True,False
Langevin,truncated_KDE_chi2,uncensored_only,arrhenius,96,16,0,3.2080897963035366,Delta_hat,0.2669379498265854,0.2669379498265854,,0.0018545446634684404,"[0.26405577, 0.2695582]",0.2640557721379364,0.26955820257301377,"[3.1354932, 3.2883533]",3.1354931951189413,3.2883532942886244,294,96.41854146022726,0.9953877033547252,-186.83708292045452,-179.14403834605102,-0.795856604053113,0.08862880688424332,0.08862882426485896,True,True
Langevin,truncated_KDE_chi2,uncensored_only,polynomial,96,16,0,0.359737260264404,alpha_hat,2.2473205673890595,,2.2473205673890595,0.052164812927494586,"[2.2271963, 2.2675305]",2.227196292222689,2.2675304900537463,"[0.34584148, 0.37430835]",0.3458414843887663,0.3743083496730818,300,-17.186650668104377,0.9508193252522429,40.373301336208755,48.06634591061226,0.6858037813490613,0.2894099968318229,0.2894099966204391,True,False
